True,LSTM_prediction,Loss_LSTM
1102.4,40.002197,986870.1875
962.9,42.928463,986845.9375
,,986822.0
,,986798.3125
,,986774.75
,,986750.5625
,,986725.8125
,,986700.75
,,986675.1875
,,986649.125
,,986622.5
,,986595.25
,,986567.1875
,,986538.0625
,,986507.75
,,986476.8125
,,986445.25
,,986413.375
,,986380.3125
,,986346.5625
,,986311.6875
,,986275.5
,,986237.9375
,,986198.75
,,986158.0625
,,986115.1875
,,986070.375
,,986023.6875
,,985974.875
,,985922.5
,,985867.25
,,985809.4375
,,985747.375
,,985680.5625
,,985610.5
,,985537.375
,,985461.25
,,985382.1875
,,985299.9375
,,985214.75
,,985126.3125
,,985034.5625
,,984939.6875
,,984841.4375
,,984739.75
,,984634.75
,,984526.1875
,,984414.0625
,,984298.3125
,,984179.0625
,,984056.1875
,,983929.5
,,983799.1875
,,983665.1875
,,983527.375
,,983385.75
,,983240.3125
,,983091.0625
,,982937.9375
,,982780.9375
,,982620.25
,,982455.5
,,982286.875
,,982114.375
,,981938.0625
,,981757.9375
,,981573.75
,,981385.8125
,,981194.0625
,,980998.375
,,980798.9375
,,980595.625
,,980388.5
,,980177.5
,,979962.875
,,979744.375
,,979522.25
,,979296.3125
,,979066.75
,,978833.4375
,,978596.5
,,978356.0
,,978111.8125
,,977864.0625
,,977612.875
,,977358.1875
,,977099.8125
,,976838.0625
,,976572.9375
,,976304.5
,,976032.5
,,975757.1875
,,975478.5625
,,975196.75
,,974911.625
,,974623.1875
,,974331.625
,,974036.8125
,,973738.8125
,,973437.8125
,,973133.75
,,972826.625
,,972516.3125
,,972203.1875
,,971886.9375
,,971567.8125
,,971245.8125
,,970920.8125
,,970593.0625
,,970262.375
,,969928.875
,,969592.625
,,969253.75
,,968912.0
,,968567.5
,,968220.5
,,967870.625
,,967518.1875
,,967163.1875
,,966805.625
,,966445.25
,,966082.625
,,965717.25
,,965349.625
,,964979.375
,,964606.5625
,,964231.625
,,963854.0
,,963474.0
,,963091.75
,,962707.125
,,962320.0625
,,961930.8125
,,961539.1875
,,961145.25
,,960749.0625
,,960350.75
,,959950.1875
,,959547.25
,,959142.25
,,958735.125
,,958325.75
,,957914.25
,,957500.75
,,957084.9375
,,956667.1875
,,956247.25
,,955825.25
,,955401.25
,,954975.25
,,954547.1875
,,954117.1875
,,953685.125
,,953251.125
,,952815.1875
,,952377.1875
,,951937.25
,,951495.5
,,951051.75
,,950606.1875
,,950158.625
,,949709.25
,,949258.0625
,,948804.9375
,,948350.0
,,947893.1875
,,947434.625
,,946974.1875
,,946512.0
,,946048.0625
,,945582.25
,,945114.75
,,944645.4375
,,944174.375
,,943701.625
,,943227.125
,,942750.875
,,942272.9375
,,941793.375
,,941312.0625
,,940829.0625
,,940344.375
,,939858.0625
,,939370.1875
,,938880.5
,,938389.1875
,,937896.3125
,,937401.8125
,,936905.6875
,,936408.0
,,935908.75
,,935407.75
,,934905.25
,,934401.1875
,,933895.625
,,933388.5
,,932879.6875
,,932369.5
,,931857.625
,,931344.3125
